"dgm","model","est","posrate","bias"
"walk","walk",0.319529094432579,0.348023305763297,-0.0284942113307179
"walk","unbiased",0.288552794421452,0.348023305763297,-0.0594705113418449
"constant","const",0.164945392463697,0.152696398588961,0.0122489938747357
"constant","linear",0.19586634335946,0.152696398588961,0.0431699447704991
"constant","walk",0.169574849407204,0.152696398588961,0.0168784508182421
"constant","unbiased",0.173087382505931,0.152696398588961,0.0203909839169698
"linear","const",0.516036625501246,0.593439833666754,-0.0774032081655083
"linear","linear",0.591253345257135,0.593439833666754,-0.00218648840961866
"linear","walk",0.604480007549122,0.593439833666754,0.0110401738823681
"linear","unbiased",0.642347406796667,0.593439833666754,0.0489075731299125
"walk","const",0.670296785611472,0.666416369066165,0.00388041654530669
"walk","linear",0.718661623043397,0.666416369066165,0.0522452539772312
"walk","walk",0.691188009099059,0.666416369066165,0.0247716400328931
"walk","unbiased",0.711608200996696,0.666416369066165,0.0451918319305301
"constant","const",0.380184867920642,0.353899844251935,0.0262850236687071
"constant","linear",0.357662501135365,0.353899844251935,0.00376265688342964
"constant","walk",0.371056265456097,0.353899844251935,0.0171564212041619
"constant","unbiased",0.324285554854393,0.353899844251935,-0.0296142893975423
"linear","const",0.795400175987649,0.765918847789477,0.0294813281981715
"linear","linear",0.750548337469024,0.765918847789477,-0.015370510320453
"linear","walk",0.773524045316796,0.765918847789477,0.00760519752731903
"linear","unbiased",0.751113499329944,0.765918847789477,-0.0148053484595334
"walk","const",0.494061754896168,0.510307115383336,-0.0162453604871682
"walk","linear",0.465422261875712,0.510307115383336,-0.0448848535076235
"walk","walk",0.485613884876866,0.510307115383336,-0.0246932305064703
"walk","unbiased",0.481578685537156,0.510307115383336,-0.0287284298461798
"constant","const",0.525356647784443,0.487589422092948,0.0377672256914951
"constant","linear",0.550318450449112,0.487589422092948,0.062729028356164
"constant","walk",0.52549474668805,0.487589422092948,0.0379053245951026
"constant","unbiased",0.49847768805081,0.487589422092948,0.0108882659578626
"linear","const",0.976677266118938,0.976223027127435,0.000454238991503764
"linear","linear",0.981571708656455,0.976223027127435,0.00534868152902046
"linear","walk",0.97955400025866,0.976223027127435,0.00333097313122577
